,latitude,longitude,cluster
300,19.0692,78.586,0
301,17.6062,77.9256,1
302,18.5648,78.0716,0
303,19.23,78.815,0
304,17.8084,80.4634,1
305,18.571,80.192,0
306,17.7646,80.118,0
307,17.763,80.1078,0
308,18.2301,79.8376,0
309,18.1197,80.2593,0
310,17.7158,80.4035,1
311,17.7373,80.4819,1
312,17.6411,80.4526,1
313,17.7,80.1143,0
314,17.6426,80.4626,1
315,17.7358,80.4719,1
316,17.3372,81.1068,2
317,18.1576,79.1794,0
318,16.954,79.1343,0
319,17.1184,80.0087,0
320,17.1682,79.9561,0
321,18.429,80.5799,0
322,18.4482,80.5612,0
323,18.459,80.5592,0
324,18.4497,80.5558,0
325,18.4605,80.5538,0
326,16.1583,78.7371,2
327,16.1546,78.7166,2
328,18.1083,80.1877,0
329,18.1057,80.1723,0
330,18.0747,80.1944,0
331,18.1075,80.1812,0
332,18.5781,80.4353,0
333,16.1655,78.739,2
334,16.1372,78.7336,2
335,18.4318,80.5599,2
336,18.4322,80.5655,2
337,18.1306,80.1898,2
338,19.1733,78.6801,2
339,19.2529,78.5339,0
340,19.1088,78.639,0
341,19.2744,78.8386,0
342,18.6711,78.8138,0
343,18.6698,78.8235,0
344,18.5286,80.4894,0
345,18.4934,80.5415,0
