,latitude,longitude,cluster,year,District
327,16.1546,78.7166,2,2015,Nagarkurnool
328,18.1083,80.1877,0,2015,Mulugu
329,18.1057,80.1723,0,2015,Mulugu
330,18.0747,80.1944,0,2015,Mulugu
331,18.1075,80.1812,0,2015,Mulugu
332,18.5781,80.4353,0,2015,Mulugu
333,16.1655,78.739,2,2015,Nagarkurnool
334,16.1372,78.7336,2,2015,Nagarkurnool
335,18.4318,80.5599,2,2015,Mulugu
336,18.4322,80.5655,2,2015,Mulugu
337,18.1306,80.1898,2,2015,Mulugu
338,19.1733,78.6801,2,2015,Nirmal
339,19.2529,78.5339,0,2015,Nirmal
340,19.1088,78.639,0,2015,Nirmal
341,19.2744,78.8386,0,2015,Adilabad
342,18.6711,78.8138,0,2015,Jagtial
343,18.6698,78.8235,0,2015,Jagtial
344,18.5286,80.4894,0,2015,Mulugu
345,18.4934,80.5415,0,2015,Mulugu
346,18.4415,80.5812,0,2015,Mulugu
347,17.8273,80.3078,1,2015,Bhadradri Kothagudem
348,17.7825,80.7303,0,2015,Bhadradri Kothagudem
349,16.1406,78.7418,0,2015,Nagarkurnool
350,17.7372,78.3251,0,2015,Sangareddy
351,16.1496,78.7432,0,2015,Nagarkurnool
352,16.5511,78.1881,0,2015,Nagarkurnool
353,18.0676,80.1829,0,2015,Mulugu
354,18.1095,80.2087,0,2015,Mulugu
355,17.9387,80.1786,1,2015,Mahabubabad
356,18.5798,80.48,0,2015,Mulugu
357,17.7983,80.1265,0,2015,Mahabubabad
358,17.9074,79.7614,0,2015,Warangal
359,18.1084,80.0151,1,2015,Mulugu
360,17.7585,80.096,0,2015,Mahabubabad
361,17.7537,80.1017,0,2015,Mahabubabad
362,18.1033,80.0279,1,2015,Warangal
363,18.3194,80.0059,0,2015,Mulugu
364,18.1104,80.032,1,2015,Warangal
365,17.4776,79.1427,1,2015,Yadadri Bhuvanagiri
366,16.4922,77.8998,1,2015,Mahabubnagar
367,18.6609,78.8146,1,2015,Jagtial
368,17.898,78.4707,1,2015,Medak
369,18.596,78.7357,1,2015,Rajanna Sircilla
370,18.6069,78.7343,1,2015,Rajanna Sircilla
371,18.6041,78.7412,1,2015,Rajanna Sircilla
372,18.6023,78.7269,1,2015,Rajanna Sircilla
373,19.015,78.6274,0,2015,Nirmal
374,19.2057,78.692,0,2015,Nirmal
375,19.0674,78.5855,0,2015,Nirmal
376,18.999,78.586,1,2015,Jagtial
377,19.0657,78.5712,1,2015,Nirmal
378,19.0133,78.613,0,2015,Nirmal
379,19.0961,78.64,0,2015,Nirmal
380,18.4937,80.6009,2,2015,Mulugu
381,18.4956,80.5932,2,2015,Mulugu
382,19.1249,78.8381,0,2015,Nirmal
383,19.1287,78.8447,0,2015,Nirmal
384,17.7705,77.5716,2,2015,Sangareddy
385,19.1909,78.8135,2,2015,Nirmal
386,18.4824,80.5829,2,2015,Mulugu
